name,location,date,info,lat,lon
2026 USA Powerlifting Tennessee Open State Championship,TN,2026-01-03,,35.747845,-86.692345
2026 USA Powerlifting Rose City Classic,TX,2026-01-10,,31.054487,-97.563461
2026 USA Powerlifting Uncle Sam’s Winter Classic,SC,2026-01-17,,33.856892,-80.945007
2026 USA Powerlifting 12th Annual St. John’s High School Classic,MA,2026-01-17,,42.230171,-71.530106
2026 USA Powerlifting Clash of the Kilos,MI,2026-01-17,,43.326618,-84.536095
2026 USA Powerlifting Virginia Winter Open,VA,2026-01-17,,37.769337,-78.169968
2026 USA Powerlifting Texas State Championships,TX,2026-01-17,,31.054487,-97.563461
2026 USA Powerlifting Wisconsin Warrior,WI,2026-01-24,,44.268543,-89.616508
USA Powerlifting 2026 Illinois State Championship,IL,2026-01-24,,40.349457,-88.986137
2026 USA Powerlifting California State Championships,CA,2026-01-24,,36.116203,-119.681564
2026 USA Powerlifting Strong Husker State High School,NE,2026-01-24,,41.12537,-98.268082
2026 USA Powerlifting Pinnacle Strength Summit,TX,2026-01-24,,31.054487,-97.563461
2026 USA Powerlifting Alabama State Championships,AL,2026-01-24,,32.806671,-86.79113
The 2026 USA Powerlifting Hudson Valley Classic,NY,2026-01-24,,42.165726,-74.948051
2026 USA Powerlifting North Carolina State Championships,NC,2026-01-31,,35.630066,-79.806419
2026 USA Powerlifting Gumbo & Glory,LA,2026-01-31,,31.169546,-91.867805
2026 USA Powerlifting Nebraska State Championship,NE,2026-01-31,,41.12537,-98.268082
2026 USA Powerlifting Rise Performance Open,IL,2026-02-07,,40.349457,-88.986137
2026 USA Powerlifting Texan Classic,TX,2026-02-07,,31.054487,-97.563461
2026 USA Powerlifting West Loop Winter Classic,IL,2026-02-08,,40.349457,-88.986137
2026 USA Powerlifting Evergreen State Showdown,WA,2026-02-14,,47.400902,-121.490494
2026 USA Powerlifting Georgia State Championships,GA,2026-02-14,,33.040619,-83.643074
2026 USA Powerlifting Missouri State Championship,MO,2026-02-21,,38.456085,-92.288368
2026 USA Powerlifting Val-Lift-Time,WI,2026-02-21,,44.268543,-89.616508
2026 USA Powerlifting White Lights Open,TX,2026-02-21,,31.054487,-97.563461
USA Powerlifting 2026 Colorado State Championships,CO,2026-02-21,,39.059811,-105.311104
2026 USA Powerlifting Virginia State Championships,VA,2026-02-21,,37.769337,-78.169968
2026 USA Powerlifting Rookie Ruckus 4,NY,2026-02-21,,42.165726,-74.948051
2026 USA Powerlifting February Iron Clash II,NY,2026-02-22,,42.165726,-74.948051
2026 USA Powerlifting Winter Wrecker Classic,TX,2026-02-28,,31.054487,-97.563461
2026 USA Powerlifting Pennsylvania State Championship,PA,2026-02-28,,40.590752,-77.209755
2026 USA Powerlifting Soda Town Showdown,SC,2026-02-28,,33.856892,-80.945007
2026 USA Powerlifting War on Route 64,NC,2026-02-28,,35.630066,-79.806419
2026 USA Powerlifting Texas Strength Classic,TX,2026-03-01,,31.054487,-97.563461
2026 USA Powerlifting Arnold Sports Festival,OH,2026-03-06,,40.388783,-82.764915
2026 USA Powerlifting Arnold Sports Fest,OH,2026-03-06,,40.388783,-82.764915
2026 USA Powerlifting Rocky Rumble IV,NY,2026-03-07,,42.165726,-74.948051
2026 USA Powerlifting Arizona State Championships,AZ,2026-03-07,,33.729759,-111.431221
2026 USA Powerlifting Madness Open,WI,2026-03-14,,44.268543,-89.616508
2026 USA Powerlifting East Ave Spring Iron,NY,2026-03-14,,42.165726,-74.948051
2026 USA Powerlifting Hidden Strength Spring Brawl,CA,2026-03-14,,36.116203,-119.681564
2026 USA Powerlifting High School Nationals,TX,2026-03-26,,31.054487,-97.563461
USA Powerlifting New York State Championships,NY,2026-03-27,,42.165726,-74.948051
2026 USA Powerlifting Pursuit of Power,MI,2026-03-28,,43.326618,-84.536095
2026 USA Powerlifting Collegiate Nationals,LA,2026-04-09,,31.169546,-91.867805
2026 USA Powerlifting Virginia Spring Fling,VA,2026-04-18,,37.769337,-78.169968
2026 USA Powerlifting Appleton Assault,WI,2026-04-18,,44.268543,-89.616508
2026 USA Powerlifting Barbell Games,MO,2026-04-18,,38.456085,-92.288368
2026 USA Powerlifting Empire Classic,WA,2026-04-18,,47.400902,-121.490494
2026 USA Powerlifting Cape Fear Clash,NC,2026-04-18,,35.630066,-79.806419
2026 USA Powerlifting Tampa Bay Open,FL,2026-04-25,,27.766279,-81.686783
2026 USA Powerlifting Warwick Barbell Bash II,NY,2026-05-02,,42.165726,-74.948051
2026 USA Powerlifting Virginia Mayhem,VA,2026-05-16,,37.769337,-78.169968
2026 USA Powerlifting Mayhem Open,WI,2026-05-16,,44.268543,-89.616508
2026 USA Powerlifting Bear Town Throwdown,NC,2026-05-16,,35.630066,-79.806419
2026 USA Powerlifting Cowabunga Mutant Muscle Mayhem,TX,2026-05-23,,31.054487,-97.563461
2026 USA Powerlifting Up North Unleashed,MI,2026-06-06,,43.326618,-84.536095
"2026 USA Powerlifting Raw, Masters & Youth Nationals",IL,2026-06-10,,40.349457,-88.986137
2026 USA Powerlifting Limitless Open,WI,2026-06-27,,44.268543,-89.616508
2026 USA Powerlifting Unleashed in the Southeast,NC,2026-07-25,,35.630066,-79.806419
2026 USA Powerlifting Indiana eclipse Classic,IN,2026-08-01,,39.849426,-86.258278
2026 USA Powerlifting Equipped and Bench Nationals,WI,2026-08-22,,44.268543,-89.616508
2026 USA Powerlifting Southwest Regional Championships,TX,2026-09-05,,31.054487,-97.563461
2026 USA Powerlifting Midwest Regional Championships,WI,2026-09-12,,44.268543,-89.616508
2026 USA Powerlifting Southeast Regional Championships,NC,2026-09-19,,35.630066,-79.806419
2026 USA Powerlifting Virginia Fall Finale,VA,2026-09-19,,37.769337,-78.169968
2026 USA Powerlifting Fall Festival of Power,NC,2026-10-17,,35.630066,-79.806419
2026 USA Powerlifting Virginia Fright Night,VA,2026-10-24,,37.769337,-78.169968
2026 USA Powerlifting Virginia Commonwealth Cup,VA,2026-11-14,,37.769337,-78.169968
2026 USA Powerlifting Battle of the Brave,NC,2026-11-14,,35.630066,-79.806419
2026 USA Powerlifting Strong Island Open,NY,2026-11-14,,42.165726,-74.948051
2026 USA Powerlifting Intrepid Classic,NY,2026-12-05,,42.165726,-74.948051
2026 USA Powerlifting Virginia Winter Wrecker,VA,2026-12-12,,37.769337,-78.169968
